id,HUC2,NSE_regional,NSE_hybrid,KGE_regional,KGE_hybrid
camels_02015700,02,0.7872904014492951,0.7969581167579913,0.7999081165986455,0.7398264839987616
camels_02016000,02,0.8747521260362678,0.8609008490351365,0.8658567159088107,0.7973404687801582
camels_02017500,02,0.7845829027420044,0.77995176289424,0.7888661599100313,0.7761943350275616
camels_02018000,02,0.7670519707823383,0.7867904153975901,0.8365254694934132,0.7741436487320243
camels_02027000,02,0.764764519790339,0.7231372184825269,0.7499273793321947,0.6724011364201672
camels_02027500,02,0.6530631620956573,0.7086800007311044,0.7493475029039214,0.7799340542294317
camels_02028500,02,0.7264910175152062,0.7064973780613498,0.7175489324071556,0.7118643861102292
camels_02046000,03,0.7316755411990665,0.8168890401080103,0.4823157355030815,0.553820531693608
camels_02051000,03,0.6383127126992122,0.6333590608640983,0.6804329118854984,0.7224836930681104
camels_02051500,03,0.563217333529131,0.4738443379036219,0.561964568582084,0.5207237803997455
camels_02053200,03,0.8369965955474634,0.8941294477679478,0.6353799395787558,0.7248175326203987
camels_02053800,03,0.7371225089998408,0.7193500086953217,0.5514912398331908,0.7668017597139509
camels_02056900,03,0.8150961511090723,0.799526078759425,0.8566742977130348,0.8212302457205773
camels_02059500,03,0.8166106463469269,0.7628534747035653,0.5925186155068473,0.6795727258299744
camels_02064000,03,0.7434706731103281,0.7438576772190733,0.8046685299280543,0.7316140775596838
camels_02065500,03,0.015854776351799216,0.3071068652191523,0.4510737604582403,0.49491663721086054
camels_02069700,03,0.753961707821831,0.7788662292126256,0.7620566387709534,0.6868072741300839
camels_02070000,03,0.844908223476923,0.8248026045764334,0.744686420299521,0.6796861919666467
camels_02074500,03,0.7082469448028234,0.47041959594253946,0.6476167697462965,0.6372146261713625
camels_02077200,03,0.7140648520147166,0.7538297412840157,0.6856210500780768,0.719994336696145
camels_02081500,03,0.7972386376938225,0.8103898798666022,0.5985833889133172,0.6043211285913186
camels_02082950,03,0.6942353328310752,0.4570391813331316,0.4924660419873077,0.2864065770785351
camels_02092500,03,0.7519240246246405,0.4107453299398144,0.6585601733222854,0.557295255235301
camels_02108000,03,0.665552390148221,0.7172612153283051,0.5938688431362587,0.6441036214041284
camels_02111180,03,0.703215259173595,0.6746497847537551,0.66912802992688,0.694953218968771
camels_02111500,03,0.7378168648806923,0.6904587305226155,0.8633397385823426,0.8287972036969972
camels_02112120,03,0.7012215846217014,0.6998889325059929,0.7384646835267316,0.7764616964505903
camels_02112360,03,0.7073167065030457,0.6543146557678639,0.8377766146278981,0.7187950758027235
camels_02118500,03,0.8496374901678684,0.8360477597169137,0.8270611263435526,0.7017672102354394
camels_02128000,03,0.4738216527528921,0.46686017148463854,0.4951944484119172,0.4052040034816735
camels_02137727,03,0.765522292470129,0.6044857283164321,0.7719465618563044,0.6990366091027446
camels_02143000,03,0.7769646142409228,0.8137571072215439,0.6904908670003378,0.7144129735929479
camels_02149000,03,0.7520990083403966,0.7237691153800947,0.6643885181800446,0.7176000891502372
camels_02152100,03,0.7102277349975704,0.7191204715110235,0.592855157359637,0.6874304228288349
camels_02177000,03,0.8380773616054414,0.8641786697575838,0.8594925951960524,0.927397927412807
camels_02212600,03,0.7459434259386908,0.7937142547171904,0.8545848107702704,0.882485172823705
camels_02216180,03,0.8691985837306642,0.8302154628966824,0.7753607024799224,0.8387639537362865
camels_02221525,03,0.8098590614548116,0.850502462153873,0.8803746990425215,0.8408669770101651
camels_02231000,03,0.7143558957842894,0.6315591833759824,0.057469266769766936,0.3328950996032518
camels_02245500,03,0.701964918379552,0.681020364175937,0.6421409067555501,0.6944001081884287
camels_02246000,03,0.7426040798869837,0.6624081980375573,0.6679638655775277,0.6575522459558134
camels_02296500,03,0.6180955189758126,0.5556546772258193,0.5806709431249424,0.59715620911394
camels_02297310,03,0.1211948817097176,0.22430839522435309,0.4497929100276028,0.5470083411147542
camels_02298123,03,0.6002893560035402,0.7263961471605894,0.6929246572231469,0.8132795268556334
camels_02298608,03,0.3086853390823069,0.28080250998181266,0.4184388738929006,0.3898743291479969
camels_02299950,03,0.6949487827760388,0.6522921909633387,0.5983882634984752,0.6028659153308902
camels_02312200,03,-1.409503653474911,-1.8053822443759464,-0.6171941059303019,-0.5845600704599798
camels_02324400,03,0.7457580995247828,0.5794330089922957,0.6961667730305172,0.6775949739120204
camels_02327100,03,0.7815574494189773,0.7261538925983908,0.48549365314891924,0.39359635572090257
camels_02349900,03,0.6010554783803633,0.529029507964363,0.701732209292781,0.704172687984641
camels_02361000,03,0.895017936759366,0.8883584214188553,0.8847323143850201,0.9172110592580872
camels_02369800,03,0.7315898658943247,0.7185444237897805,0.7920959841615668,0.8101418046449632
camels_02371500,03,0.848177875186724,0.8838250993353131,0.8667159414479848,0.9220756057880993
camels_02372250,03,0.836794364357167,0.7823953913443147,0.7749640460690902,0.8212120719141717
camels_02374500,03,0.878007984987172,0.8587872919561864,0.8576411427317797,0.8016461433766177
camels_02408540,03,0.8708521437093011,0.8529682802871527,0.8049102693716425,0.8468474856083299
camels_02422500,03,0.8406058304904936,0.8645984270627325,0.8109976885226317,0.8620085905350534
camels_02450250,03,0.7541655879408393,0.708599913428837,0.8766669362210366,0.8467544454207678
camels_02464000,03,0.8454924245292516,0.8405167662213593,0.796066825009502,0.8038357477716802
camels_02469800,03,0.8604719888230743,0.8769112652424988,0.8709954514377961,0.9176061429876285
camels_02472000,03,0.8674764866760301,0.8634466154363502,0.8319162527288269,0.7705669438238038
camels_02472500,03,0.8537340676320088,0.8104416731086024,0.9016469232909082,0.7523855309032113
camels_02479155,03,0.6620591896750573,0.6454465292593423,0.8066247179705404,0.7672738650302361
camels_02479300,03,0.8910430150002419,0.8945192081070701,0.8522620363099295,0.8647421991951074
